hstphot_id,chip,pixel_x,pixel_y,ra_deg,dec_deg,hms_dms,dist_from_sn_arcsec
163,PC1,485.9,688.5,70.3587451,-2.8501261,04h41m26.099s -02d51m00.454s,48.08
282,PC1,407.6,210.8,70.3631033,-2.8544111,04h41m27.145s -02d51m15.880s,30.63
338,PC1,742.1,513.5,70.3574419,-2.8538083,04h41m25.786s -02d51m13.710s,37.69
388,PC1,584.5,490.2,70.3592108,-2.8528776,04h41m26.211s -02d51m10.359s,38.14
540,PC1,480.4,384.6,70.361061,-2.8531809,04h41m26.655s -02d51m11.451s,35.47
614,PC1,166.2,212.5,70.3655523,-2.8525975,04h41m27.733s -02d51m09.351s,38.57
706,PC1,98.2,69.3,70.3672926,-2.8535459,04h41m28.150s -02d51m12.765s,37.64
721,PC1,200.2,586.6,70.3624188,-2.8490399,04h41m26.981s -02d50m56.544s,49.93
834,PC1,423.3,273.0,70.3624788,-2.8538945,04h41m26.995s -02d51m14.020s,32.45
852,PC1,483.2,233.8,70.3621588,-2.8547391,04h41m26.918s -02d51m17.061s,29.45
13638,WF2,342.8,533.3,70.3744248,-2.8384241,04h41m29.862s -02d50m18.327s,97.81
13651,WF2,452.9,107.3,70.3631604,-2.8430046,04h41m27.158s -02d50m34.816s,71.67
13923,WF2,173.2,605.8,70.378819,-2.8409857,04h41m30.917s -02d50m27.549s,98.06
13938,WF2,344.0,484.7,70.3733268,-2.8391997,04h41m29.598s -02d50m21.119s,93.61
14003,WF2,652.3,401.9,70.3664024,-2.8337364,04h41m27.937s -02d50m01.451s,105.89
14171,WF2,540.0,63.3,70.3607659,-2.8417964,04h41m26.584s -02d50m30.467s,76.29
14256,WF2,616.5,677.3,70.3730912,-2.830014,04h41m29.542s -02d49m48.050s,124.25
14575,WF2,273.3,267.3,70.3696656,-2.8443564,04h41m28.720s -02d50m39.683s,71.41
34707,WF3,602.7,312.7,70.3850438,-2.8498839,04h41m32.411s -02d50m59.582s,93.23
34852,WF3,699.3,84.4,70.3834534,-2.8432833,04h41m32.029s -02d50m35.820s,102.94
35053,WF3,68.4,550.8,70.3770589,-2.8638977,04h41m30.494s -02d51m50.032s,52.0
35297,WF3,317.2,86.0,70.3749839,-2.8495199,04h41m29.996s -02d50m58.272s,65.54
35576,WF3,117.2,349.2,70.3748348,-2.8586353,04h41m29.960s -02d51m31.087s,46.5
35613,WF3,219.7,346.3,70.3770597,-2.8568979,04h41m30.494s -02d51m24.833s,56.21
35713,WF3,173.1,435.9,70.377493,-2.8596526,04h41m30.598s -02d51m34.749s,54.71
35797,WF3,117.9,616.8,70.3792365,-2.8645552,04h41m31.017s -02d51m52.399s,60.0
35834,WF3,217.7,494.6,70.3794471,-2.8602301,04h41m31.067s -02d51m36.828s,61.23
35875,WF3,781.0,615.9,70.3939201,-2.8537169,04h41m34.541s -02d51m13.381s,117.27
36040,WF3,216.5,489.3,70.3793334,-2.8601319,04h41m31.040s -02d51m36.475s,60.88
54700,WF4,414.8,216.8,70.3701837,-2.8643439,04h41m28.844s -02d51m51.638s,27.65
55146,WF4,341.1,427.5,70.3642573,-2.8660959,04h41m27.422s -02d51m57.945s,12.89
55599,WF4,506.2,88.4,70.3745231,-2.8643266,04h41m29.886s -02d51m51.576s,43.07
55605,WF4,79.3,680.9,70.3543897,-2.8643382,04h41m25.054s -02d51m51.618s,30.07
55614,WF4,452.2,610.9,70.3619401,-2.871551,04h41m26.866s -02d52m17.584s,31.22
55961,WF4,84.4,618.1,70.3558626,-2.8634365,04h41m25.407s -02d51m48.371s,24.41
56190,WF4,356.1,675.1,70.3589524,-2.8704316,04h41m26.149s -02d52m13.554s,30.14
56430,WF4,430.9,695.4,70.3597081,-2.8724313,04h41m26.330s -02d52m20.753s,35.86
56762,WF4,313.0,784.7,70.3558264,-2.8712251,04h41m25.398s -02d52m16.410s,38.67
56966,WF4,460.6,325.1,70.368494,-2.8671221,04h41m28.439s -02d52m01.640s,25.98
57127,WF4,261.3,616.8,70.3587246,-2.8673681,04h41m26.094s -02d52m02.525s,21.33
58373,WF4,724.9,212.8,70.3752501,-2.8712207,04h41m30.060s -02d52m16.394s,54.36
